Идентификатор,Наименование,Группа способов,Уровень возможностей нарушителя,Возможные реализуемые угрозы,Возможные меры защиты,Условия реализации,Выполняемые действия,Последствия реализации,Идентификаторы других систем,Ссылки на источник
СП.8.7,Обнаружение доступных директорий веб-сайтов,СП.8 Сканирование сетевой инфраструктуры,"В.1 Нарушитель, обладающий базовыми возможностями","УБИ.1 Угроза утечки информации;
УБИ.11 Угроза несанкционированного массового сбора информации","ЗИС.35.1 Фильтрация сетевого трафика, в том числе между внешними сетями и внутренними, в том числе при организации сетевого обмена с сетями связи общего пользования;
АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.35.3 Контроль передачи служебных информационных сообщений, передаваемых в сетях, хостовой операционной системы, по составу, объёму и иным характеристикам ;
ЗИС.35.6 Обеспечение изоляции потоков данных, передаваемых и обрабатываемых компонентами инфраструктуры и сетевых потоков вычислительной сети;
ЗИС.35.7 Семантический и статистический анализ сетевого трафика вычислительной сети;
СОВ.1.1 Обнаружение (предотвращение) вторжений (компьютерных атак), направленных на преднамеренный несанкционированный доступ к информации, специальные воздействия на информацию (носители информации) в целях ее добывания, уничтожения, искажения и блокирования доступа к ней, с использованием систем обнаружения вторжений ;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.8.8,Обнаружение существующих доменных имен (DNS-имен),СП.8 Сканирование сетевой инфраструктуры,"В.1 Нарушитель, обладающий базовыми возможностями",УБИ.11 Угроза несанкционированного массового сбора информации,"ЗИС.35.1 Фильтрация сетевого трафика, в том числе между внешними сетями и внутренними, в том числе при организации сетевого обмена с сетями связи общего пользования;
АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.35.3 Контроль передачи служебных информационных сообщений, передаваемых в сетях, хостовой операционной системы, по составу, объёму и иным характеристикам ;
ЗИС.35.6 Обеспечение изоляции потоков данных, передаваемых и обрабатываемых компонентами инфраструктуры и сетевых потоков вычислительной сети;
ЗИС.35.7 Семантический и статистический анализ сетевого трафика вычислительной сети;
СОВ.1.1 Обнаружение (предотвращение) вторжений (компьютерных атак), направленных на преднамеренный несанкционированный доступ к информации, специальные воздействия на информацию (носители информации) в целях ее добывания, уничтожения, искажения и блокирования доступа к ней, с использованием систем обнаружения вторжений ;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.9.1,Получение данных о пользователях и группах,СП.9 Изучение информации о системе,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.11 Угроза несанкционированного массового сбора информации,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.14.1 Предоставление доступа только авторизованным (уполномоченным) пользователям;
УПД.14.2 Определение типов прикладного программного обеспечения, к которым разрешен доступ авторизованным (уполномоченным) пользователям из внешних информационных систем;
УПД.14.4 Определение порядка предоставления доступа авторизованными (уполномоченным) пользователями из внешних информационных систем;
УПД.14.5 Определение порядка обработки, хранения и передачи информации с использованием внешних информационных систем;
АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы;
УПД.14.3 Определение системных учетных записей, используемых в рамках данного взаимодействия",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.9.2,Получение данных об аппаратном обеспечении,СП.9 Изучение информации о системе,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.11 Угроза несанкционированного массового сбора информации,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.14.1 Предоставление доступа только авторизованным (уполномоченным) пользователям;
УПД.14.2 Определение типов прикладного программного обеспечения, к которым разрешен доступ авторизованным (уполномоченным) пользователям из внешних информационных систем;
УПД.14.4 Определение порядка предоставления доступа авторизованными (уполномоченным) пользователями из внешних информационных систем;
УПД.14.5 Определение порядка обработки, хранения и передачи информации с использованием внешних информационных систем;
АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы;
УПД.14.3 Определение системных учетных записей, используемых в рамках данного взаимодействия",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.9.3,Получение данных о процессах,СП.9 Изучение информации о системе,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.11 Угроза несанкционированного массового сбора информации,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.14.1 Предоставление доступа только авторизованным (уполномоченным) пользователям;
УПД.14.2 Определение типов прикладного программного обеспечения, к которым разрешен доступ авторизованным (уполномоченным) пользователям из внешних информационных систем;
УПД.14.4 Определение порядка предоставления доступа авторизованными (уполномоченным) пользователями из внешних информационных систем;
УПД.14.5 Определение порядка обработки, хранения и передачи информации с использованием внешних информационных систем;
АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы;
УПД.14.3 Определение системных учетных записей, используемых в рамках данного взаимодействия",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.9.4,Получение данных о настройках безопасности,СП.9 Изучение информации о системе,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.11 Угроза несанкционированного массового сбора информации,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.14.1 Предоставление доступа только авторизованным (уполномоченным) пользователям;
УПД.14.2 Определение типов прикладного программного обеспечения, к которым разрешен доступ авторизованным (уполномоченным) пользователям из внешних информационных систем;
УПД.14.4 Определение порядка предоставления доступа авторизованными (уполномоченным) пользователями из внешних информационных систем;
УПД.14.5 Определение порядка обработки, хранения и передачи информации с использованием внешних информационных систем;
АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы;
УПД.14.3 Определение системных учетных записей, используемых в рамках данного взаимодействия",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.9.5,Получение данных о настройках сети,СП.9 Изучение информации о системе,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.11 Угроза несанкционированного массового сбора информации,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.14.1 Предоставление доступа только авторизованным (уполномоченным) пользователям;
УПД.14.2 Определение типов прикладного программного обеспечения, к которым разрешен доступ авторизованным (уполномоченным) пользователям из внешних информационных систем;
УПД.14.4 Определение порядка предоставления доступа авторизованными (уполномоченным) пользователями из внешних информационных систем;
УПД.14.5 Определение порядка обработки, хранения и передачи информации с использованием внешних информационных систем;
АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы;
УПД.14.3 Определение системных учетных записей, используемых в рамках данного взаимодействия",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.9.6,Поиск файлов и каталогов,СП.9 Изучение информации о системе,"В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.11 Угроза несанкционированного массового сбора информации","УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.14.1 Предоставление доступа только авторизованным (уполномоченным) пользователям;
УПД.14.2 Определение типов прикладного программного обеспечения, к которым разрешен доступ авторизованным (уполномоченным) пользователям из внешних информационных систем;
УПД.14.4 Определение порядка предоставления доступа авторизованными (уполномоченным) пользователями из внешних информационных систем;
УПД.14.5 Определение порядка обработки, хранения и передачи информации с использованием внешних информационных систем;
АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы;
УПД.14.3 Определение системных учетных записей, используемых в рамках данного взаимодействия",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.9.7,Получение данных об установленном программном обеспечении,СП.9 Изучение информации о системе,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.11 Угроза несанкционированного массового сбора информации,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.14.1 Предоставление доступа только авторизованным (уполномоченным) пользователям;
УПД.14.2 Определение типов прикладного программного обеспечения, к которым разрешен доступ авторизованным (уполномоченным) пользователям из внешних информационных систем;
УПД.14.4 Определение порядка предоставления доступа авторизованными (уполномоченным) пользователями из внешних информационных систем;
УПД.14.5 Определение порядка обработки, хранения и передачи информации с использованием внешних информационных систем;
АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы;
УПД.14.3 Определение системных учетных записей, используемых в рамках данного взаимодействия",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.9.8,Получение данных о пользователях и системах путем рассылки спам-сообщений ,СП.9 Изучение информации о системе,"В.1 Нарушитель, обладающий базовыми возможностями",УБИ.11 Угроза несанкционированного массового сбора информации,"ЗИС.17.2 Обеспечить мониторинг и контроль использования сети Интернет для всех средств вычислительной техники, расположенных в группах сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления доступа к сети Интернет;
ЗИС.15.1 Реализация электронного почтового обмена с внешними сетями через ограниченное количество контролируемых точек;
ЗИС.16.1 Обнаружение и реагирование на поступление незапрашиваемых электронных сообщений (писем, документов) и иной информации, не относящихся к функционированию информационной системы (защита от спама);
ЗИС.17.1 Мониторинг и контроль использования сервисов электронной почты (в том числе с использованием web-интерфейса) при передаче информации на внешние адреса электронной почты для всего трафика электронной почты и для всех учетных записей сервисов электронной почты ;
ЗИС.18.1 Ограничение доступа к сайтам или типам сайтов, запрещенных к использованию;
ИПО.1.1 Информирование персонала об угрозах безопасности информации и о правилах безопасной работы;
ИПО.2.1 Обучение персонала правилам безопасной работы;
ИПО.3.1 Проведение практических занятий с персоналом по правилам безопасной работы;
ИПО.4.1 Контроль осведомленности персонала об угрозах безопасности информации и о правилах безопасной работы",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.10.1,"Атака типа ""человек посередине"" через HTTP-запросы","СП.10 Атака типа ""человек посередине""","В.1 Нарушитель, обладающий базовыми возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов","ЗИС.27.1 Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.10.2,"Атака типа ""человек посередине"" через TLS/SSL-запросы","СП.10 Атака типа ""человек посередине""","В.1 Нарушитель, обладающий базовыми возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов","ЗИС.27.1 Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.10.3,"Атака типа ""человек посередине"" через DNS-сервер","СП.10 Атака типа ""человек посередине""","В.1 Нарушитель, обладающий базовыми возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов","ЗИС.27.1 Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.10.4,"Атака типа ""человек посередине"" путем создания поддельной точки доступа","СП.10 Атака типа ""человек посередине""","В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов","ЗИС.27.1 Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.10.5,"Атака типа ""человек посередине"" путем навязывания использования поддельного Proxy-сервера","СП.10 Атака типа ""человек посередине""","В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов","ЗИС.27.1 Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.10.6,"Атака типа человек посередине путем подмены ответов на широковещательные запросы разрешения сетевых имен (LLMNR, mDNS, NetBIOS)","СП.10 Атака типа ""человек посередине""","В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов","ЗИС.27.1 Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.10.7,"Атаки на уровне каналов и сети, приводящие к изменению маршрутов","СП.10 Атака типа ""человек посередине""","В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов","ЗИС.27.1 Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.11.1,Применение скрытых каналов по времени,СП.11 Применение скрытых каналов,"В.3 Нарушитель, обладающий средними возможностями","УБИ.1 Угроза утечки информации;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.10 Угроза распространения противоправной информации","ЗИС.31.1 Выявление и анализ скрытых каналов передачи информации для определения параметров передачи информации, которые могут использоваться для скрытого хранения информации и скрытой передачи информации за пределы информационной системы",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.11.2,Применение скрытых каналов по памяти,СП.11 Применение скрытых каналов,"В.3 Нарушитель, обладающий средними возможностями",Данные уточняются,"ЗИС.31.1 Выявление и анализ скрытых каналов передачи информации для определения параметров передачи информации, которые могут использоваться для скрытого хранения информации и скрытой передачи информации за пределы информационной системы",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.11.3,"Применение скрытых каналов, организованных через подключаемый носитель",СП.11 Применение скрытых каналов,"В.3 Нарушитель, обладающий средними возможностями",Данные уточняются,"ЗИС.31.1 Выявление и анализ скрытых каналов передачи информации для определения параметров передачи информации, которые могут использоваться для скрытого хранения информации и скрытой передачи информации за пределы информационной системы",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.11.4,"Туннелирование с использованием стандартных протоколов (ssh, ipsec)",СП.11 Применение скрытых каналов,"В.3 Нарушитель, обладающий средними возможностями",Данные уточняются,"ЗИС.31.1 Выявление и анализ скрытых каналов передачи информации для определения параметров передачи информации, которые могут использоваться для скрытого хранения информации и скрытой передачи информации за пределы информационной системы",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.11.5,"Туннелирование путем инкапсуляции в другие протоколы (dns, smb)",СП.11 Применение скрытых каналов,"В.3 Нарушитель, обладающий средними возможностями",Данные уточняются,"ЗИС.31.1 Выявление и анализ скрытых каналов передачи информации для определения параметров передачи информации, которые могут использоваться для скрытого хранения информации и скрытой передачи информации за пределы информационной системы;
ЗИС.2.1 Управление (контроль) входящими в информационную систему и исходящими из информационной системы информационными потоками на физической и (или) логической границе информационной системы (сегментов информационной системы);
ЗИС.2.2 Обеспечение взаимодействия информационной системы и (или) ее сегментов с иными информационными системами и сетями только через сетевые интерфейсы, которые обеспечивают управление (контроль) информационными потоками с использованием средств защиты информации (управляемые (контролируемые) сетевые интерфейсы), установленных на физическом и (или) логическом периметре информационной системы или ее отдельных сегментов (маршрутизаторов, межсетевых экранов, коммутаторов, прокси-серверов, шлюзов безопасности, средств построения виртуальных частных сетей и иных средств защиты информации);
ЗИС.5.1 Организация демилитаризованной зоны",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
